"1.x_coordinates, 2.y_coordinates, 3.brightness, 4.mean_brightness, 5.max_brightness, 6.radius"
1880.5,4608.0,0.0,3453.0,3462.0,0.0
1818.5,4608.0,45.875,3464.875,3493.0,0.3989422804014327
1247.5,4608.0,0.0,3448.6000000000004,3459.0,0.0
278.0,4608.0,0.0,3463.333333333333,3495.0,0.0
1121.5,4607.5,24.857142857142662,3468.7142857142853,3492.0,0.28209479177387814
971.0,4607.5,0.0,3455.6000000000004,3462.0,0.0
899.0,4607.5,0.0,3463.333333333333,3468.0,0.0
555.0,4607.5,0.0,3466.0,3486.0,0.0
357.5,4607.0,0.0,3464.0,3480.0,0.0
333.0,4607.5,0.0,3462.4,3480.0,0.0
216.0,4607.5,0.0,3452.5,3462.0,0.0
2108.5,4607.0,44.33333333333303,3463.333333333333,3471.0,0.3989422804014327
2019.0,4607.0,24.14285714285711,3467.285714285714,3499.0,0.28209479177387814
1749.0,4607.0,89.40000000000055,3463.7000000000003,3495.0,0.5641895835477563
1623.5,4607.0,18.916666666666515,3456.833333333333,3479.0,0.28209479177387814
1594.5,4607.0,19.8125,3458.625,3476.0,0.28209479177387814
1450.0,4606.0,44.28571428571422,3463.285714285714,3479.0,0.3989422804014327
1086.5,4607.0,43.166666666666515,3462.1666666666665,3490.0,0.3989422804014327
822.5,4606.0,0.0,3471.0,3490.0,0.0
815.5,4607.0,50.35714285714266,3452.5714285714284,3464.0,0.4886025119029199
588.5,4607.0,133.388888888888,3457.111111111111,3492.0,0.7463526651802308
476.5,4607.0,38.83333333333303,3457.833333333333,3476.0,0.3989422804014327
455.0,4607.0,0.0,3468.2000000000003,3503.0,0.0
210.5,4606.5,37.85714285714266,3456.8571428571427,3477.0,0.3989422804014327
1892.0,4605.5,0.0,3453.6000000000004,3477.0,0.0
1684.5,4606.5,113.125,3464.25,3493.0,0.6307831305050401
1641.0,4606.5,21.666666666666515,3462.333333333333,3489.0,0.28209479177387814
1369.0,4606.0,21.2777777777776,3461.555555555555,3480.0,0.28209479177387814
1304.5,4606.5,0.0,3453.6666666666665,3468.0,0.0
1242.5,4606.0,0.0,3457.6000000000004,3486.0,0.0
1098.5,4606.5,859.828125,3463.09375,3516.0,1.761681409986482
1100.0,4606.5,247.3333333333312,3454.333333333333,3485.0,1.055502061411188
789.0,4606.5,44.454545454545496,3463.4545454545455,3495.0,0.3989422804014327
671.5,4606.0,23.666666666666515,3466.333333333333,3487.0,0.28209479177387814
258.0,4606.0,138.8333333333328,3458.6666666666665,3477.0,0.7463526651802308
162.5,4606.0,23.05555555555543,3465.111111111111,3496.0,0.28209479177387814
147.0,4606.5,81.13636363636374,3451.4545454545455,3502.0,0.6307831305050401
1990.5,4606.0,35.0,3454.0,3470.0,0.3989422804014327
1922.0,4604.5,0.0,3454.6000000000004,3470.0,0.0
1771.5,4605.5,0.0,3460.6666666666665,3491.0,0.0
1524.0,4605.5,19.57142857142844,3458.142857142857,3484.0,0.28209479177387814
1458.0,4604.5,0.0,3458.2000000000003,3475.0,0.0
1425.5,4604.0,0.0,3465.0,3475.0,0.0
1134.5,4606.0,40.5555555555552,3459.555555555555,3476.0,0.3989422804014327
1067.0,4606.0,209.11764705882365,3465.470588235294,3508.0,0.8462843753216345
1025.0,4605.0,0.0,3467.6000000000004,3491.0,0.0
736.0,4606.0,266.9464285714282,3467.535714285714,3511.0,0.9356025796273888
643.0,4606.0,64.0,3451.0,3461.0,0.5641895835477563
246.0,4605.0,19.07142857142844,3457.142857142857,3479.0,0.28209479177387814
139.5,4606.0,60.1875,3459.125,3477.0,0.4886025119029199
1802.5,4604.5,134.90909090909076,3457.5454545454545,3500.0,0.7463526651802308
1793.5,4604.0,43.5,3462.5,3481.0,0.3989422804014327
1761.0,4605.0,69.33333333333326,3465.222222222222,3498.0,0.4886025119029199
1735.5,4604.5,130.24999999999955,3462.4166666666665,3488.0,0.690988298942671
1705.0,4604.0,35.166666666666515,3454.1666666666665,3466.0,0.3989422804014327
1613.0,4604.5,36.90000000000009,3455.9,3470.0,0.3989422804014327
1473.5,4603.5,0.0,3469.6666666666665,3479.0,0.0
781.0,4604.0,0.0,3457.5,3474.0,0.0
546.0,4605.5,1395.0250000000037,3487.05,3658.0,1.8062879984608917
337.5,4603.5,0.0,3457.8,3470.0,0.0
117.5,4605.5,143.07692307692378,3454.769230769231,3477.0,0.7978845608028654
1668.0,4603.0,82.5,3452.0,3474.0,0.6307831305050401
1650.5,4602.0,44.33333333333303,3463.333333333333,3482.0,0.3989422804014327
1648.5,4605.0,122.71875,3454.0625,3477.0,0.7463526651802308
1386.0,4604.0,0.0,3451.333333333333,3465.0,0.0
1218.0,4604.5,56.86363636363649,3456.909090909091,3479.0,0.4886025119029199
850.5,4605.0,217.7999999999995,3458.6,3513.0,0.9356025796273888
804.0,4604.0,33.40000000000009,3452.4,3471.0,0.3989422804014327
776.5,4603.0,0.0,3453.8,3469.0,0.0
766.5,4603.0,35.666666666666515,3454.6666666666665,3476.0,0.3989422804014327
2077.5,4603.0,233.35714285714107,3461.428571428571,3496.0,0.9356025796273888
1856.0,4603.5,0.0,3450.7142857142853,3465.0,0.0
1841.5,4601.5,0.0,3458.6000000000004,3487.0,0.0
1727.0,4601.5,0.0,3458.833333333333,3465.0,0.0
1586.0,4602.5,62.727272727272975,3460.818181818182,3479.0,0.4886025119029199
1241.0,4601.5,0.0,3451.285714285714,3465.0,0.0
1235.5,4602.0,0.0,3454.6000000000004,3462.0,0.0
